relative_path,boxes_processed,mean_abs_diff,max_abs_diff
day1/members/onanong/10_0422.webp,2,0.48902271412037035,62
day1/members/tien/14_0026.webp,2,1.405201099537037,71
day2/members/allie/10_0243.webp,2,1.1756004050925926,96
day2/members/bjorn/16_0632.webp,2,0.5711986400462963,100
day2/members/bjorn/19_0139.webp,2,1.0352557146990742,85
day2/members/bjorn/19_0187.webp,2,3.1855378327546298,144
day2/members/cathal/12_0044.webp,2,1.4092158564814814,79
day2/members/cathal/18_0081.webp,2,1.3742223668981481,101
day2/members/cathal/19_0211.webp,2,0.3978135850694444,32
day2/members/florian/10_0103.webp,2,0.6256872106481481,79
day2/members/florian/14_0672.webp,2,1.3974066840277777,90
day2/members/klaus/18_0601.webp,2,0.5761266637731481,61
day2/members/luca/14_0016.webp,2,0.6905110677083334,82
day2/members/luca/18_0250.webp,2,0.7321867766203703,74
day2/members/onanong/10_0373.webp,2,1.4490379050925926,114
day2/members/stevan/20_0706.webp,2,0.6437445746527778,94
day2/members/tien/12_0017.webp,2,1.7487612123842593,114
day2/members/tien/12_0597.webp,2,1.3944950810185186,98
day2/members/tien/18_0209.webp,2,0.45872214988425924,88
day2/members/tien/19_0311.webp,2,1.27001953125,86
day2/members/werner/10_0252.webp,2,2.439082392939815,112
day2/members/werner/12_0480.webp,2,1.3556857638888888,91
day2/members/werner/15_0625.webp,2,1.4804235387731481,123
day3/members/bjorn/10_0179.webp,2,3.592258029513889,132
day3/members/luca/13_0160.webp,2,0.5340350115740741,82
day3/members/onanong/10_0301.webp,2,0.5641366464120371,90
day3/members/onanong/11_0042.webp,2,1.7362648292824074,141
day3/members/onanong/11_0248.webp,2,2.217918113425926,79
day3/members/onanong/11_0537.webp,2,1.4768970630787037,99
day3/members/onanong/11_0644.webp,2,2.065791377314815,116
day3/members/onanong/15_0413.webp,2,1.6631854021990742,137
day3/members/stevan/09_0286.webp,2,0.6563856336805556,57
day3/members/stevan/20_0527.webp,2,1.0152000144675926,80
day3/members/tien/09_0002.webp,2,0.530517578125,41
day3/members/tien/11_0464.webp,2,1.5880895543981481,108
day3/members/tien/12_0164.webp,2,0.5693630642361112,76
day3/members/werner/08_0594.webp,2,0.7641330295138888,92
day3/members/werner/08_0619.webp,2,0.8637966579861112,86
day3/members/werner/10_0468.webp,2,0.5919958043981481,55
day4/members/allie/09_0451.webp,2,1.5422724971064814,76
day4/members/allie/09_0677.webp,2,1.9940592447916667,79
day4/members/bao/09_0694.webp,2,1.395435474537037,83
day4/members/bao/10_0060.webp,2,1.4680627893518519,87
day4/members/bjorn/10_0048.webp,2,0.7899938512731481,66
day4/members/cathal/09_0257.webp,2,2.6619014033564814,88
day4/members/florian/10_0112.webp,2,1.6243670428240742,109
day4/members/florian/10_0427.webp,2,0.8816189236111112,106
day4/members/luca/08_0054.webp,2,0.43482349537037035,76
day4/members/onanong/15_0400.webp,2,0.6061830873842593,58
day4/members/werner/08_0337.webp,2,0.6238335503472222,67
day1/members/allie/15_0458.webp,1,1.0557725694444444,110
day1/members/cathal/11_0405.webp,1,2.4290002893518516,107
day1/members/cathal/13_0040.webp,1,37.907371238425924,235
day1/members/cathal/14_0484.webp,1,0.5664514612268519,37
day1/members/cathal/18_0317.webp,1,0.9106716579861112,118
day1/members/florian/13_0133.webp,1,0.6690628616898148,88
day1/members/florian/16_0525.webp,1,0.5033637152777778,65
day1/members/klaus/10_0063.webp,1,8.16769748263889,151
day1/members/klaus/16_0531.webp,1,1.7027180989583333,142
day1/members/klaus/17_0002.webp,1,2.409351490162037,116
day1/members/luca/11_0691.webp,1,0.3514449508101852,38
day1/members/luca/12_0202.webp,1,0.3731011284722222,72
day1/members/luca/13_0044.webp,1,0.7984664351851852,59
day1/members/luca/18_0040.webp,1,0.7337510850694444,69
day1/members/onanong/08_0611.webp,1,0.8159812644675926,99
day1/members/onanong/14_0049.webp,1,1.6322157118055556,129
day1/members/onanong/16_0577.webp,1,0.5713071469907407,77
day1/members/onanong/17_0468.webp,1,0.48725947627314814,81
day1/members/onanong/18_0512.webp,1,8.54493995949074,194
day1/members/stevan/17_0340.webp,1,0.31950774016203703,39
day1/members/tien/15_0585.webp,1,0.27980324074074076,29
day1/members/werner/11_0515.webp,1,0.2737449363425926,62
day1/members/werner/19_0255.webp,1,0.6865596064814815,71
day2/members/allie/16_0153.webp,1,1.342701099537037,82
day2/members/allie/17_0093.webp,1,1.8021918402777777,102
day2/members/allie/17_0175.webp,1,1.6638002748842593,84
day2/members/allie/17_0331.webp,1,1.6909541377314814,78
day2/members/bjorn/12_0518.webp,1,0.6475151909722222,54
day2/members/cathal/14_0185.webp,1,0.6591796875,68
day2/members/florian/14_0717.webp,1,1.1152072482638888,78
day2/members/florian/15_0118.webp,1,5.462736906828703,168
