relative_path,policy_category,attempted_method,artifact_gate_action,final_method,selection_source,privacy_score,utility_score,balanced_score,component_runtime_seconds,output_path,status
day1/members/onanong/15_0060.webp,large_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6376886739307537,0.8812641840935028,0.619304390687087,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/onanong/15_0060.webp,ok
day1/members/onanong/16_0577.webp,single_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.5689169261227396,0.8679779875621652,0.22685115938519357,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/onanong/16_0577.webp,ok
day1/members/onanong/17_0253.webp,no_face,no_action_copy,not_required,no_action_copy,verified_no_face,1.0,1.0,1.0,0.0,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/onanong/17_0253.webp,ok
day1/members/onanong/17_0468.webp,single_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.7364267250061778,0.9182309272271966,0.22685115938519357,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/onanong/17_0468.webp,ok
day1/members/onanong/18_0512.webp,single_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.4225001735164868,0.8244422791415285,0.20688564204432164,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/onanong/18_0512.webp,ok
day1/members/onanong/19_0261.webp,no_face,no_action_copy,not_required,no_action_copy,verified_no_face,1.0,1.0,1.0,0.0,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/onanong/19_0261.webp,ok
day1/members/onanong/19_0481.webp,no_face,no_action_copy,not_required,no_action_copy,verified_no_face,1.0,1.0,1.0,0.0,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/onanong/19_0481.webp,ok
day2/members/allie/10_0201.webp,motion_blur_or_low_sharpness,riddle,retain_riddle,riddle,train_fold_category,1.0,0.5692382104742817,0.8618550324927261,0.5571084784739246,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/allie/10_0201.webp,ok
day2/members/allie/10_0243.webp,motion_blur_or_low_sharpness,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6962780163798843,0.9035619673241484,0.36355762220259985,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/allie/10_0243.webp,ok
day2/members/allie/11_0188.webp,medium_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.6504390563388704,0.8800018659866082,0.9103834734722251,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day2/members/allie/11_0188.webp,ok
