relative_path,method,output_path,status,box_count,runtime_seconds,SSIM,LPIPS,AdaFace_cosine_mean,AdaFace_reid_rate,ArcFace_cosine_mean,ArcFace_reid_rate,success,runtime_for_score,privacy_residual_rate,privacy_score,lpips_utility_score,utility_score,face_crop_count,crop_ssim_mean,crop_lpips_mean,facenet_cosine_mean,facenet_reid_rate_060,landmark_pair_rate,landmark_geometry_score,background_preservation_score,face_region_utility_score,metric_status,privacy_score_three_attacker,enhanced_success_score,enhanced_utility_score,runtime_score_constrained,runtime_score_high_compute,enhanced_balanced_score,enhanced_high_compute_score
day1/members/cathal/10_0708.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/cathal/10_0708.webp,ok,5,0.6835323140870315,0.984682656430118,0.01868804171681404,0.09061811678111553,0.0,0.0688415814191103,0.0,1.0,0.6835323140870315,0.0,1.0,0.6262391656637192,0.8054609110469186,5,0.7474713171921743,0.4299033284187317,0.0695340558886528,0.0,0.6,0.2423186327884368,0.998473584651947,0.4472429624555849,ok,1.0,1.0,0.6456532041117546,0.8722262193855249,0.8961799678384404,0.8809185831720788,0.870787619831036
day1/members/cathal/11_0405.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/cathal/11_0405.webp,ok,1,0.1167409454765343,0.9782921165330949,0.027049623429775238,0.05037466436624527,0.0,0.1246710866689682,0.0,1.0,0.1167409454765343,0.0,1.0,0.45900753140449524,0.7186498239687951,1,0.6274782307159719,0.3935814499855041,0.2709778249263763,0.0,1.0,0.3957222087246846,0.9977396130561828,0.5217572079390093,ok,1.0,1.0,0.6481124948626409,0.9769222708658241,0.9779931403300185,0.8921259755453746,0.8757390302184251
day1/members/cathal/11_0477.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/cathal/11_0477.webp,copied_no_face,0,0.1322899235298249,0.9894040651171263,0.006822237279266119,,,,,1.0,0.1322899235298249,0.0,1.0,0.8635552544146776,0.926479659765902,0,,,,,,,0.9985846877098083,,no_face,1.0,1.0,0.926479659765902,0.9738889612070138,0.9752371669067328,0.975332794050472,0.9730297392634023
day1/members/cathal/12_0342.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/cathal/12_0342.webp,ok,4,0.5468258512696251,0.9735872886637141,0.02985883690416813,0.04696034570224583,0.0,0.01649201661348343,0.0,1.0,0.5468258512696251,0.0,1.0,0.4028232619166374,0.6882052752901757,4,0.5768181829923836,0.4460098445415497,-0.0050745643675327,0.0,1.0,0.1198290951428572,0.9977355003356934,0.4124154152066008,ok,1.0,1.0,0.5812633677529401,0.8964030180058914,0.9130594649808382,0.8640193121264711,0.8490951519625709
day1/members/cathal/13_0040.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/cathal/13_0040.webp,ok,1,0.1367064628174062,0.9361339712993765,0.10071371495723724,-0.06167808175086975,0.0,0.24961628019809723,0.0,1.0,0.1367064628174062,0.0,1.0,0.0,0.46806698564968824,1,0.4138233521034644,0.6356204152107239,-0.3814610838890075,0.0,0.0,0.0,0.991751492023468,0.1448381732362125,ok,1.0,1.0,0.3588210300803284,0.9730290972534326,0.9744612583993145,0.8049492187494418,0.7743104234480807
day1/members/cathal/14_0484.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/cathal/14_0484.webp,ok,1,0.1167409454765343,0.9864281197891516,0.015936682000756264,0.11012068390846252,0.0,0.13281503319740295,0.0,1.0,0.1167409454765343,0.0,1.0,0.6812663599848747,0.8338472398870131,1,0.8163520665883154,0.3513674139976501,0.204040452837944,0.0,0.0,0.0,0.99846088886261,0.3600395163070853,ok,1.0,1.0,0.6134047429946089,0.9769222708658241,0.9779931403300185,0.881713649984965,0.863591317064614
day1/members/cathal/14_0490.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/cathal/14_0490.webp,ok,8,0.9339275638122748,0.9698865762055001,0.033903446048498154,0.10291352425701916,0.0,0.09307340392842889,0.0,1.0,0.9339275638122748,0.0,1.0,0.3219310790300369,0.6459088276177685,8,0.6564741215897726,0.4373226761817932,0.1323958188295364,0.0,0.875,0.2712064075626204,0.9968879222869872,0.4635395150052419,ok,1.0,1.0,0.5898220807784271,0.8296216605616706,0.8685437201625318,0.8599087902896952,0.849864914280576
day1/members/cathal/14_0708.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/cathal/14_0708.webp,ok,6,0.700445672859206,0.9726766845648577,0.02658562734723091,0.09527363255620003,0.0,0.05176602676510811,0.0,1.0,0.700445672859206,0.0,1.0,0.4682874530553818,0.7204820688101197,6,0.6245739450771675,0.3906779587268829,0.0295580085366964,0.0,0.8333333333333334,0.5920679453268899,0.997705101966858,0.5467176636125133,ok,1.0,1.0,0.6613221695269903,0.8692807489781277,0.8941876087289272,0.8853247257559098,0.8761721397708929
day1/members/cathal/15_0162.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/cathal/15_0162.webp,ok,4,0.4669637819061373,0.978893123078728,0.02696320414543152,0.037466821260750294,0.0,0.004304985632188618,0.0,1.0,0.4669637819061373,0.0,1.0,0.46073591709136963,0.7198145200850488,4,0.6816079093681136,0.3942165970802307,0.1025679856538772,0.0,0.75,0.3918999015126369,0.9980054497718812,0.5019294451168836,ok,1.0,1.0,0.6386910755696495,0.9108356935044162,0.9236249874881477,0.8826908920213364,0.8697231258237846
day1/members/cathal/15_0298.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/cathal/15_0298.webp,ok,4,0.5468258512696251,0.9701793105286036,0.03126266598701477,0.06777862086892128,0.0,0.009513436816632748,0.0,1.0,0.5468258512696251,0.0,1.0,0.3747466802597046,0.6724629953941541,4,0.5574932966609139,0.3988561034202575,0.0346001684665679,0.0,1.0,0.6130361780629299,0.997410237789154,0.5489536540875041,ok,1.0,1.0,0.6432030489803291,0.8964030180058914,0.9130594649808382,0.8826012164946878,0.8707740403921571
