protocol,model,subgroup,image_count,ground_truth_boxes,prediction_boxes,ap,precision,recall,f1,true_positives,false_positives,false_negatives,zero_face_false_positive_images,zero_face_specificity,oapr_detector_score
01_baseline_500,yolo11n_pose_widerface_640,edge_or_partial_face,183,767,711,0.8505682246719093,0.9212376933895922,0.8539765319426337,0.8863328822733424,655,56,112,0,,0.8687917356700068
01_baseline_500,yolo11n_pose_widerface_640,profile_or_occluded_face,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0
01_baseline_500,yolo11n_pose_widerface_640,downward_egocentric_view,153,697,638,0.857810234782792,0.9388714733542319,0.8593974175035868,0.897378277153558,599,39,98,0,,0.8768400380011441
01_baseline_500,yolo11n_pose_widerface_640,motion_blur_or_low_sharpness,100,208,176,0.7538417753794682,0.9034090909090909,0.7644230769230769,0.8281249999999999,159,17,49,0,,0.794247159090909
01_baseline_500,yolo11n_pose_widerface_640,low_light_or_dim,100,265,258,0.8791487231945084,0.9069767441860465,0.8830188679245283,0.8948374760994262,234,24,31,0,,0.8883693075944047
01_baseline_500,yolo11n_pose_widerface_640,high_clutter,170,554,531,0.8806576459562068,0.9209039548022598,0.8826714801444043,0.9013824884792627,489,42,65,0,,0.8911724796939046
01_baseline_500,yolo11n_pose_widerface_640,outdoor_or_vehicle_scene,5,9,9,1.0,1.0,1.0,1.0,9,0,0,0,,1.0
01_baseline_500,scrfd_10g_current_640,all_images,500,1323,1148,0.8328213079233032,0.9625435540069687,0.8352229780801209,0.8943747470659652,1105,43,218,0,,0.8627429779192668
01_baseline_500,scrfd_10g_current_640,multi_face,280,1240,1088,0.848696415199332,0.9696691176470589,0.8508064516129032,0.9063573883161512,1055,33,185,0,,0.8765804523921308
01_baseline_500,scrfd_10g_current_640,single_face,83,83,58,0.5916428270343306,0.8620689655172413,0.6024096385542169,0.7092198581560283,50,8,33,0,,0.6550781261509722
01_baseline_500,scrfd_10g_current_640,no_face,137,0,2,0.0,0.0,0.0,0.0,0,2,0,2,0.9854014598540146,0.9854014598540146
01_baseline_500,scrfd_10g_current_640,very_small_or_distant_face,40,81,68,0.770461503324403,0.9264705882352942,0.7777777777777778,0.8456375838926173,63,5,18,0,,0.8096120103522393
01_baseline_500,scrfd_10g_current_640,small_face,110,386,356,0.8882641687428634,0.9662921348314607,0.8911917098445595,0.9272237196765498,344,12,42,0,,0.9077097548012474
01_baseline_500,scrfd_10g_current_640,medium_face,73,169,150,0.8315633761284653,0.94,0.834319526627219,0.8840125391849529,141,9,28,0,,0.8573108271039306
01_baseline_500,scrfd_10g_current_640,large_face,14,14,9,0.6428571428571429,1.0,0.6428571428571429,0.782608695652174,9,0,5,0,,0.7135093167701864
01_baseline_500,scrfd_10g_current_640,mixed_scale_face,126,673,563,0.8128875386442702,0.9733570159857904,0.8142644873699851,0.8867313915857605,548,15,125,0,,0.8482904662855095
01_baseline_500,scrfd_10g_current_640,edge_or_partial_face,183,767,642,0.8088300191062447,0.9688473520249221,0.8109517601043025,0.8828956706884314,622,20,145,0,,0.8447272969423967
01_baseline_500,scrfd_10g_current_640,profile_or_occluded_face,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0
01_baseline_500,scrfd_10g_current_640,downward_egocentric_view,153,697,602,0.8335756774443029,0.96843853820598,0.836441893830703,0.8976135488837567,583,19,114,0,,0.8649344720314942
01_baseline_500,scrfd_10g_current_640,motion_blur_or_low_sharpness,100,208,155,0.6799781459050598,0.9225806451612903,0.6875,0.7878787878787878,143,12,65,0,,0.736102761485826
01_baseline_500,scrfd_10g_current_640,low_light_or_dim,100,265,224,0.8214691333868788,0.9732142857142857,0.8226415094339623,0.8916155419222904,218,6,47,0,,0.8549422951840767
01_baseline_500,scrfd_10g_current_640,high_clutter,170,554,490,0.856333552877445,0.9693877551020408,0.8574007220216606,0.9099616858237547,475,15,79,0,,0.8817396662802222
01_baseline_500,scrfd_10g_current_640,outdoor_or_vehicle_scene,5,9,10,0.8765432098765431,0.8,0.8888888888888888,0.8421052631578948,8,2,1,0,,0.8683040935672515
01_baseline_500,fusion_yolo8s_scrfd10g_agreement,all_images,500,1323,1305,0.8767464004678396,0.89272030651341,0.8805744520030234,0.8866057838660578,1165,140,158,0,,0.8832968704198207
01_baseline_500,fusion_yolo8s_scrfd10g_agreement,multi_face,280,1240,1211,0.8892991520372548,0.9141205615194055,0.8927419354838709,0.9033047735618114,1107,104,133,0,,0.8975205076069096
01_baseline_500,fusion_yolo8s_scrfd10g_agreement,single_face,83,83,76,0.6943645453298005,0.7631578947368421,0.6987951807228916,0.7295597484276729,58,18,25,0,,0.712922594050482
01_baseline_500,fusion_yolo8s_scrfd10g_agreement,no_face,137,0,18,0.0,0.0,0.0,0.0,0,18,0,14,0.8978102189781022,0.8978102189781022
01_baseline_500,fusion_yolo8s_scrfd10g_agreement,very_small_or_distant_face,40,81,86,0.8660633267184799,0.8255813953488372,0.8765432098765432,0.8502994011976048,71,15,10,0,,0.864886076254038
01_baseline_500,fusion_yolo8s_scrfd10g_agreement,small_face,110,386,393,0.9265855649105366,0.9134860050890585,0.9300518134715026,0.9216944801026958,359,34,27,0,,0.9263058992910564
01_baseline_500,fusion_yolo8s_scrfd10g_agreement,medium_face,73,169,166,0.880350125773613,0.8975903614457831,0.8816568047337278,0.88955223880597,149,17,20,0,,0.8852240189229938
01_baseline_500,fusion_yolo8s_scrfd10g_agreement,large_face,14,14,10,0.6428571428571429,0.9,0.6428571428571429,0.75,9,1,5,0,,0.6953571428571429
01_baseline_500,fusion_yolo8s_scrfd10g_agreement,mixed_scale_face,126,673,632,0.8537666108532966,0.9129746835443038,0.8573551263001485,0.8842911877394637,577,55,96,0,,0.869651097384393
01_baseline_500,fusion_yolo8s_scrfd10g_agreement,edge_or_partial_face,183,767,736,0.8637255378201987,0.9035326086956522,0.8670143415906127,0.8848968729208251,665,71,102,0,,0.8751368011336698
01_baseline_500,fusion_yolo8s_scrfd10g_agreement,profile_or_occluded_face,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0
01_baseline_500,fusion_yolo8s_scrfd10g_agreement,downward_egocentric_view,153,697,669,0.8774279729510257,0.9177877428998505,0.8809182209469153,0.8989751098096632,614,55,83,0,,0.8891193953578959
01_baseline_500,fusion_yolo8s_scrfd10g_agreement,motion_blur_or_low_sharpness,100,208,191,0.7640077023611899,0.8481675392670157,0.7788461538461539,0.81203007518797,162,29,46,0,,0.794074272723694
01_baseline_500,fusion_yolo8s_scrfd10g_agreement,low_light_or_dim,100,265,271,0.8712956844333987,0.8560885608856088,0.8754716981132076,0.8656716417910447,232,39,33,0,,0.871083370309907
