relative_path,output_path,boxes_processed,mean_abs_diff,failure_label,severity,reason
day4/members/stevan/13_0714.webp,outputs/03_anonymisation/03_nullface/images/day4/members/stevan/13_0714.webp,4,0.725414,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day2/members/florian/12_0020.webp,outputs/03_anonymisation/03_nullface/images/day2/members/florian/12_0020.webp,0,0.335558,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day1/members/cathal/09_0001.webp,outputs/03_anonymisation/03_nullface/images/day1/members/cathal/09_0001.webp,5,3.397542,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/luca/08_0225.webp,outputs/03_anonymisation/03_nullface/images/day1/members/luca/08_0225.webp,2,0.401738,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/allie/14_0135.webp,outputs/03_anonymisation/03_nullface/images/day1/members/allie/14_0135.webp,5,1.024107,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/allie/10_0099.webp,outputs/03_anonymisation/03_nullface/images/day1/members/allie/10_0099.webp,4,0.727042,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day4/members/bao/08_0028.webp,outputs/03_anonymisation/03_nullface/images/day4/members/bao/08_0028.webp,0,0.250687,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day1/members/bjorn/18_0340.webp,outputs/03_anonymisation/03_nullface/images/day1/members/bjorn/18_0340.webp,0,0.265516,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day1/members/luca/15_0236.webp,outputs/03_anonymisation/03_nullface/images/day1/members/luca/15_0236.webp,3,0.905201,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day2/members/florian/19_0363.webp,outputs/03_anonymisation/03_nullface/images/day2/members/florian/19_0363.webp,0,0.273257,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day1/members/werner/18_0484.webp,outputs/03_anonymisation/03_nullface/images/day1/members/werner/18_0484.webp,3,1.269305,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day4/members/allie/08_0040.webp,outputs/03_anonymisation/03_nullface/images/day4/members/allie/08_0040.webp,1,12.212646,moderate_visual_risk,medium,"Material change likely tied to partial-face corruption, blockiness, or unstable synthesis."
day2/members/klaus/12_0264.webp,outputs/03_anonymisation/03_nullface/images/day2/members/klaus/12_0264.webp,0,0.356599,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day1/members/florian/08_0717.webp,outputs/03_anonymisation/03_nullface/images/day1/members/florian/08_0717.webp,5,2.58742,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day2/members/allie/13_0355.webp,outputs/03_anonymisation/03_nullface/images/day2/members/allie/13_0355.webp,0,0.313603,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day1/members/bjorn/15_0004.webp,outputs/03_anonymisation/03_nullface/images/day1/members/bjorn/15_0004.webp,4,0.733778,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day2/members/klaus/10_0629.webp,outputs/03_anonymisation/03_nullface/images/day2/members/klaus/10_0629.webp,5,0.940963,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/luca/08_0069.webp,outputs/03_anonymisation/03_nullface/images/day1/members/luca/08_0069.webp,0,0.224401,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day4/members/werner/08_0337.webp,outputs/03_anonymisation/03_nullface/images/day4/members/werner/08_0337.webp,2,0.623834,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day2/members/werner/17_0115.webp,outputs/03_anonymisation/03_nullface/images/day2/members/werner/17_0115.webp,1,0.795365,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/klaus/12_0484.webp,outputs/03_anonymisation/03_nullface/images/day3/members/klaus/12_0484.webp,0,0.398627,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day4/members/stevan/13_0149.webp,outputs/03_anonymisation/03_nullface/images/day4/members/stevan/13_0149.webp,4,0.868354,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/luca/08_0716.webp,outputs/03_anonymisation/03_nullface/images/day1/members/luca/08_0716.webp,2,0.828016,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
