method,fold,threshold,train_clusters,test_clusters,positive_train_rate,positive_test_rate,train_oapr_detector_score,variant_set,classifier,cluster_iou
error_hardened_all_raw_histgb_iou0_5,3,0.34,3570,892,0.558543,0.571749,0.94516,all_raw,histgb,0.5
error_hardened_all_raw_histgb_iou0_5,4,0.35,3570,892,0.557423,0.576233,0.951439,all_raw,histgb,0.5
error_hardened_all_raw_histgb_iou0_5,5,0.43,3570,892,0.565266,0.544843,0.955736,all_raw,histgb,0.5
error_hardened_all_raw_logreg_iou0_6,1,0.55,3741,936,0.570436,0.544872,0.911794,all_raw,logreg,0.6
error_hardened_all_raw_logreg_iou0_6,2,0.67,3741,936,0.564822,0.567308,0.911927,all_raw,logreg,0.6
error_hardened_all_raw_logreg_iou0_6,3,0.61,3742,935,0.566809,0.559358,0.919849,all_raw,logreg,0.6
error_hardened_all_raw_logreg_iou0_6,4,0.59,3742,935,0.554249,0.609626,0.908036,all_raw,logreg,0.6
error_hardened_all_raw_logreg_iou0_6,5,0.62,3742,935,0.570283,0.545455,0.914786,all_raw,logreg,0.6
error_hardened_all_raw_rf_iou0_6,1,0.54,3741,936,0.570436,0.544872,0.927123,all_raw,rf,0.6
error_hardened_all_raw_rf_iou0_6,2,0.52,3741,936,0.564822,0.567308,0.929181,all_raw,rf,0.6
error_hardened_all_raw_rf_iou0_6,3,0.52,3742,935,0.566809,0.559358,0.933926,all_raw,rf,0.6
error_hardened_all_raw_rf_iou0_6,4,0.49,3742,935,0.554249,0.609626,0.923262,all_raw,rf,0.6
error_hardened_all_raw_rf_iou0_6,5,0.45,3742,935,0.570283,0.545455,0.930222,all_raw,rf,0.6
error_hardened_all_raw_extra_iou0_6,1,0.54,3741,936,0.570436,0.544872,0.936695,all_raw,extra,0.6
error_hardened_all_raw_extra_iou0_6,2,0.56,3741,936,0.564822,0.567308,0.937905,all_raw,extra,0.6
error_hardened_all_raw_extra_iou0_6,3,0.63,3742,935,0.566809,0.559358,0.941042,all_raw,extra,0.6
error_hardened_all_raw_extra_iou0_6,4,0.61,3742,935,0.554249,0.609626,0.933341,all_raw,extra,0.6
error_hardened_all_raw_extra_iou0_6,5,0.6,3742,935,0.570283,0.545455,0.938026,all_raw,extra,0.6
error_hardened_all_raw_histgb_iou0_6,1,0.37,3741,936,0.570436,0.544872,0.940029,all_raw,histgb,0.6
error_hardened_all_raw_histgb_iou0_6,2,0.41,3741,936,0.564822,0.567308,0.940005,all_raw,histgb,0.6
