fold,relative_path,policy_category,selected_method,selection_source,score,privacy,utility
2,day2/members/florian/19_0363.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day2/members/stevan/09_0309.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day2/members/stevan/10_0281.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8810102249566775,1.0,0.6280390081312689
2,day2/members/stevan/11_0382.webp,small_face,blur,train_fold_category,0.879851411288235,1.0,0.6293382865536551
2,day2/members/stevan/11_0452.webp,mixed_scale_face,layered_blur_downscale_noise,train_fold_category,0.8263379082642047,0.9523809523809524,0.5316017026068194
2,day2/members/stevan/11_0699.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8658470034450926,1.0,0.5770169435191072
2,day2/members/stevan/20_0706.webp,small_face,blur,train_fold_category,0.8866290183249347,1.0,0.6504917216689249
2,day3/members/florian/10_0402.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day3/members/florian/10_0693.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.7027265260662251,0.6666666666666667,0.5910974322854297
2,day3/members/florian/11_0647.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day3/members/florian/12_0302.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8615792292798877,1.0,0.5678251092824155
2,day3/members/florian/14_0452.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.814394487368324,0.8333333333333334,0.6899410989970753
2,day3/members/florian/15_0318.webp,medium_face,blur,train_fold_category,0.8676807384574307,1.0,0.5911735378209348
2,day3/members/florian/17_0490.webp,medium_face,blur,train_fold_category,0.8591849959855629,1.0,0.5632260799221737
2,day3/members/florian/18_0329.webp,medium_face,blur,train_fold_category,0.8634704194149119,1.0,0.5777660910268088
2,day3/members/florian/19_0086.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day3/members/florian/19_0198.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.7185646633703134,0.6666666666666667,0.6444352068660018
2,day3/members/florian/19_0282.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day3/members/florian/19_0349.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
2,day3/members/florian/19_0684.webp,low_light_or_dim,blur,train_fold_category,0.9892371311146039,1.0,0.994225224638858
2,day3/members/florian/20_0281.webp,small_face,blur,train_fold_category,0.868015891660585,1.0,0.5928494510556813
2,day3/members/florian/20_0698.webp,small_face,blur,train_fold_category,0.868501833712772,1.0,0.5949720557456151
2,day3/members/stevan/08_0717.webp,small_face,blur,train_fold_category,0.8965808755654011,1.0,0.6845685983862178
2,day3/members/stevan/09_0144.webp,small_face,blur,train_fold_category,0.8858468569892808,1.0,0.6497617702782912
2,day3/members/stevan/09_0286.webp,motion_blur_or_low_sharpness,layered_blur_downscale_noise,train_fold_category,0.8758215887296587,1.0,0.6129940958908969
2,day3/members/stevan/10_0619.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
