relative_path,method,face_crop_count,crop_ssim_mean,crop_lpips_mean,facenet_cosine_mean,facenet_reid_rate_050,facenet_reid_rate_060,facenet_reid_rate_070,landmark_pair_rate,landmark_error_mean,landmark_geometry_score,background_preservation_score,face_region_utility_score,metric_status
day1/members/werner/14_0048.webp,layered_blur_downscale_noise,0,,,,,,,,,,0.9984810948371887,,no_face
day1/members/werner/14_0048.webp,nullface,0,,,,,,,,,,0.9984810948371887,,no_face
day1/members/werner/14_0048.webp,diffusion_low_step,0,,,,,,,,,,0.9984810948371887,,no_face
day1/members/werner/14_0048.webp,reverse_personalization,0,,,,,,,,,,0.9984810948371887,,no_face
day1/members/klaus/17_0206.webp,blur,2,0.899150006626566,0.2513914108276367,0.45057088136672974,0.5,0.5,0.0,0.0,,0.0,0.9992135167121887,0.4390068043560603,ok
day1/members/klaus/17_0206.webp,pixelate,2,0.8988779222374652,0.3426770567893982,0.5442197322845459,0.5,0.5,0.0,0.5,0.17963491004121257,0.48675739988224975,0.9992138147354126,0.5899581018095567,ok
day1/members/klaus/17_0206.webp,solid_mask_black,2,0.038334585638152834,0.6839855313301086,0.23466351628303528,0.0,0.0,0.0,0.0,,0.0,0.9983015656471252,0.01341710497335349,ok
day1/members/klaus/17_0206.webp,layered_blur_downscale_noise,2,0.8322145583590544,0.4439288377761841,0.351747989654541,0.5,0.0,0.0,0.0,,0.0,0.9983066320419312,0.3193106839881576,ok
day1/members/klaus/17_0206.webp,nullface,2,0.8785432077224398,0.13641007244586945,0.49649858474731445,0.5,0.5,0.5,0.5,0.19787202428716594,0.4346513591795259,0.9954618215560913,0.6729479337253812,ok
day1/members/klaus/17_0206.webp,diffusion_low_step,2,0.6354692561699924,0.4699649512767792,0.45597249269485474,0.5,0.5,0.0,0.5,0.29449961804460995,0.15857251987254295,0.9983071684837341,0.3568287816425943,ok
day1/members/klaus/17_0206.webp,reverse_personalization,2,0.8648904671704006,0.21410894393920898,-0.10975337028503418,0.0,0.0,0.0,0.5,0.2238567831989505,0.36040919086014134,0.9981663227081299,0.610759489255071,ok
day4/members/florian/11_0412.webp,blur,3,0.7272539674210537,0.5041356682777405,0.1810208410024643,0.0,0.0,0.0,0.0,,0.0,0.9990084171295166,0.26841136302936036,ok
day4/members/florian/11_0412.webp,pixelate,3,0.7216463679876052,0.5335853099822998,0.3570152223110199,0.0,0.0,0.0,0.0,,0.0,0.9990078210830688,0.2525762287956618,ok
day4/members/florian/11_0412.webp,solid_mask_black,3,0.010442913366212251,0.8824494481086731,0.2709212601184845,0.0,0.0,0.0,0.0,,0.0,0.997991681098938,0.003655019678174288,ok
