method,relative_path,non_sensitive_ssim
nullface,day2/members/luca/10_0654.webp,0.9890657427877686
nullface,day1/members/klaus/10_0063.webp,0.8127817695776066
nullface,day3/members/tien/20_0155.webp,0.988724968646446
nullface,day1/members/onanong/08_0611.webp,0.9928024290853651
nullface,day4/members/stevan/13_0714.webp,0.9946058446219045
nullface,day2/members/florian/12_0020.webp,0.9984540420447744
nullface,day1/members/cathal/09_0001.webp,0.9693785516446622
nullface,day1/members/luca/08_0225.webp,0.9980210557829983
nullface,day1/members/allie/14_0135.webp,0.9891465115883279
nullface,day1/members/allie/10_0099.webp,0.9941771372249382
nullface,day4/members/bao/08_0028.webp,0.998340137395318
nullface,day1/members/bjorn/18_0340.webp,0.9971252713580631
diffusion_low_step,day3/members/stevan/20_0682.webp,0.9979014504441781
diffusion_low_step,day1/members/luca/12_0078.webp,0.9981699280475275
diffusion_low_step,day3/members/tien/14_0649.webp,0.9971579173347017
diffusion_low_step,day2/members/bjorn/16_0250.webp,0.998774522815372
diffusion_low_step,day1/members/stevan/10_0179.webp,0.9976436815680388
diffusion_low_step,day3/members/werner/08_0619.webp,0.9984268494599018
diffusion_low_step,day3/members/tien/10_0512.webp,0.9978363008139334
diffusion_low_step,day1/members/werner/14_0048.webp,0.997678525823574
diffusion_low_step,day1/members/klaus/17_0206.webp,0.9976977666013807
diffusion_low_step,day4/members/florian/11_0412.webp,0.9979968338774489
diffusion_low_step,day1/members/allie/18_0412.webp,0.9976529863212659
diffusion_low_step,day2/members/klaus/18_0601.webp,0.9984255476885803
diffusion_low_step,day4/members/allie/12_0604.webp,0.9976681395962611
diffusion_low_step,day1/members/onanong/08_0572.webp,0.9980299970497942
diffusion_low_step,day3/members/stevan/09_0286.webp,0.997735117270325
diffusion_low_step,day3/members/tien/20_0434.webp,0.9978027986803872
diffusion_low_step,day4/members/werner/18_0362.webp,0.9981561851177935
diffusion_low_step,day1/members/cathal/12_0342.webp,0.9985964272261688
diffusion_low_step,day3/members/florian/19_0198.webp,0.9983661087606958
diffusion_low_step,day4/members/allie/18_0334.webp,0.9976813212138814
diffusion_low_step,day4/members/werner/09_0017.webp,0.9981818646689785
diffusion_low_step,day4/members/werner/12_0528.webp,0.997855743601808
diffusion_low_step,day3/members/bjorn/20_0140.webp,0.9971088297215506
diffusion_low_step,day3/members/onanong/15_0413.webp,0.9983305788883597
diffusion_low_step,day1/members/luca/13_0044.webp,0.9977423537081931
diffusion_low_step,day4/members/luca/11_0578.webp,0.99816030408858
diffusion_low_step,day4/members/werner/18_0672.webp,0.9983698264764675
diffusion_low_step,day2/members/luca/11_0416.webp,0.9981608100195446
diffusion_low_step,day1/members/stevan/08_0631.webp,0.9983293924251372
diffusion_low_step,day3/members/luca/17_0412.webp,0.9982849835420474
diffusion_low_step,day4/members/onanong/13_0378.webp,0.9977271026461484
diffusion_low_step,day3/members/luca/11_0126.webp,0.9972557974347881
diffusion_low_step,day4/members/cathal/13_0074.webp,0.9982043295905666
diffusion_low_step,day2/members/cathal/19_0687.webp,0.9980307528015463
diffusion_low_step,day1/members/allie/09_0273.webp,0.9978178676482274
diffusion_low_step,day3/members/luca/13_0698.webp,0.9985217091211548
diffusion_low_step,day4/members/allie/09_0480.webp,0.9981061881530056
diffusion_low_step,day1/members/luca/18_0040.webp,0.998798398445854
diffusion_low_step,day2/members/luca/10_0654.webp,0.9983432317966535
diffusion_low_step,day1/members/klaus/10_0063.webp,0.9555170435532115
diffusion_low_step,day3/members/tien/20_0155.webp,0.9974590976617845
diffusion_low_step,day1/members/onanong/08_0611.webp,0.9980613720971366
diffusion_low_step,day4/members/stevan/13_0714.webp,0.9978871986364366
diffusion_low_step,day2/members/florian/12_0020.webp,0.9984540420447744
diffusion_low_step,day1/members/cathal/09_0001.webp,0.9978710769833338
diffusion_low_step,day1/members/luca/08_0225.webp,0.9985517920178238
diffusion_low_step,day1/members/allie/14_0135.webp,0.9979403242828156
