protocol,model,subgroup,precision,recall,f1,f2,specificity,exploratory_oapr_detector_score,oapr_deployment_detector_score,recall_floor,passes_recall_floor,image_count,tp,fp,fn,source_table,adopted_primary
combined_1000,error_hardened_rfdetr_clean_logreg_iou0_45,all_images,0.9081245254365984,0.91752972765631,0.9128029002098836,0.9156331342826519,,0.9154075005727322,0.9161150590909244,0.85,True,1000,2392,242,215,12_detector_error_hardening,False
combined_1000,error_hardened_all_raw_rf_iou0_5,all_images,0.929858934169279,0.9102416570771,0.9199457259158752,0.9140986132511556,,0.9146294019960116,0.9131676238298319,0.85,True,1000,2373,179,234,12_detector_error_hardening,False
combined_1000,error_hardened_raw_plus_fusions_rf_iou0_45,all_images,0.933806146572104,0.9090909090909092,0.9212827988338192,0.9139287366959741,,0.914610405274756,0.9127718897402949,0.85,True,1000,2370,168,237,12_detector_error_hardening,False
combined_1000,fusion_rfdetr_scrfd10g,edge_or_partial_face,0.8982737361282368,0.919242902208202,0.908637355784222,0.9149711127857325,,0.9144945989942104,0.9160780382445881,0.85,,376,1457,165,128,08_sliced_rfdetr_detector_experiment,False
combined_1000,error_hardened_raw_plus_fusions_logreg_iou0_45,all_images,0.90733004177744,0.9163789796701188,0.9118320610687024,0.9145547814103054,,0.914337356230497,0.9150180363158976,0.85,True,1000,2389,244,218,12_detector_error_hardening,False
combined_1000,error_hardened_raw_plus_fusions_logreg_iou0_5,all_images,0.9110347460862924,0.915228231683928,0.9131266743207042,0.9143864489921054,,0.9142834937833584,0.9145984374512088,0.85,True,1000,2386,233,221,12_detector_error_hardening,False
combined_1000,error_hardened_rfdetr_clean_rf_iou0_5,all_images,0.9255650818394388,0.9110088224012276,0.9182292673497005,0.9138833307680468,,0.9142695595821668,0.9131830754367536,0.85,True,1000,2375,191,232,12_detector_error_hardening,False
combined_1000,fusion_rfdetr_yolo11s_scrfd10g,edge_or_partial_face,0.8614845119812975,0.929968454258675,0.8944174757281552,0.915414234256614,,0.9142323153983074,0.919481505030422,0.85,,376,1474,237,111,08_sliced_rfdetr_detector_experiment,False
combined_1000,error_hardened_rfdetr_clean_rf_iou0_45,all_images,0.9359430604982206,0.907940161104718,0.9217289719626168,0.91340588099097,,0.9141876537585432,0.9121068810156313,0.85,True,1000,2367,162,240,12_detector_error_hardening,False
combined_1000,error_hardened_all_raw_logreg_iou0_5,all_images,0.9026047565118912,0.9171461449942464,0.9098173515981736,0.9142005047029136,,0.9138598077969926,0.9149555960731777,0.85,True,1000,2391,258,216,12_detector_error_hardening,False
combined_1000,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,edge_or_partial_face,0.9209687699171448,0.9116719242902208,0.9162967660114142,0.9135162473131875,,0.9137578192832116,0.9130626896086549,0.85,,376,1445,124,140,08_sliced_rfdetr_detector_experiment,False
combined_1000,cv_box_reranker_with_rfdetr_predicted_conditions,all_images,0.9074990483441188,0.9144610663598004,0.9109667558272831,0.913060130218307,,0.912891286925103,0.913414630522859,0.85,True,1000,2384,243,223,08_sliced_rfdetr_detector_experiment,False
combined_1000,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,all_images,0.9112131649445082,0.9133103183736097,0.9122605363984676,0.9128901157886665,,0.912838157536914,0.9129955523844637,0.85,True,1000,2381,232,226,08_sliced_rfdetr_detector_experiment,False
combined_1000,fusion_rfdetr_yolo11s_scrfd10g,outdoor_or_vehicle_scene,0.65,1.0,0.787878787878788,0.9027777777777778,,0.9119696969696972,0.9406944444444445,0.85,,23,13,7,0,08_sliced_rfdetr_detector_experiment,False
combined_1000,error_hardened_rfdetr_clean_histgb_iou0_45,all_images,0.9460981496379728,0.9021864211737628,0.9236206558020812,0.910639615920706,,0.9119361526772636,0.9086908927069197,0.85,True,1000,2352,134,255,12_detector_error_hardening,False
