label,support,precision,recall,f1,f2,route_eligible,included_in_primary_score,method_id,feature_set,estimator,route_influence
high_clutter,360,0.5942857142857143,0.5777777777777777,0.5859154929577465,0.5810055865921788,False,True,scrfd_only__logistic_regression,scrfd_only,logistic_regression,False
large_face,42,0.2033898305084746,0.5714285714285714,0.3,0.4195804195804196,False,True,scrfd_only__logistic_regression,scrfd_only,logistic_regression,False
low_light_or_dim,199,0.2468694096601073,0.6934673366834171,0.3641160949868074,0.5092250922509225,False,True,scrfd_only__logistic_regression,scrfd_only,logistic_regression,False
medium_face,223,0.460559796437659,0.8116591928251121,0.5876623376623377,0.7042801556420234,False,True,scrfd_only__logistic_regression,scrfd_only,logistic_regression,False
mixed_scale_face,171,0.4769736842105263,0.847953216374269,0.6105263157894737,0.7338056680161943,False,True,scrfd_only__logistic_regression,scrfd_only,logistic_regression,False
motion_blur_or_low_sharpness,194,0.2704280155642023,0.7164948453608248,0.3926553672316384,0.5387596899224806,False,True,scrfd_only__logistic_regression,scrfd_only,logistic_regression,False
multi_face,556,0.9773584905660376,0.9316546762589928,0.9539594843462248,0.9404502541757443,True,True,scrfd_only__logistic_regression,scrfd_only,logistic_regression,True
no_face,283,0.8509316770186336,0.9681978798586572,0.905785123966942,0.9422283356258596,True,True,scrfd_only__logistic_regression,scrfd_only,logistic_regression,True
outdoor_or_vehicle_scene,23,0.0463917525773195,0.782608695652174,0.0875912408759124,0.1875,False,False,scrfd_only__logistic_regression,scrfd_only,logistic_regression,False
profile_or_occluded_face,206,0.3640776699029126,0.7281553398058253,0.4854368932038835,0.6067961165048543,False,True,scrfd_only__logistic_regression,scrfd_only,logistic_regression,False
single_face,161,0.6511627906976745,0.6956521739130435,0.6726726726726727,0.6862745098039216,False,True,scrfd_only__logistic_regression,scrfd_only,logistic_regression,False
small_face,229,0.5509641873278237,0.8733624454148472,0.6756756756756757,0.7818608287724785,False,True,scrfd_only__logistic_regression,scrfd_only,logistic_regression,False
text_or_screen_risk_in_face_protocol,0,0.0,0.0,0.0,0.0,False,False,scrfd_only__logistic_regression,scrfd_only,logistic_regression,False
very_small_or_distant_face,52,0.4166666666666667,0.7692307692307693,0.5405405405405406,0.6578947368421053,False,True,scrfd_only__logistic_regression,scrfd_only,logistic_regression,False
downward_egocentric_view,242,0.3534136546184739,0.7272727272727273,0.4756756756756757,0.6002728512960437,False,True,yolo640_only__logistic_regression,yolo640_only,logistic_regression,False
edge_or_partial_face,376,0.8347826086956521,0.7659574468085106,0.7988904299583911,0.7787993510005409,True,True,yolo640_only__logistic_regression,yolo640_only,logistic_regression,True
high_clutter,360,0.5906593406593407,0.5972222222222222,0.5939226519337016,0.5958980044345898,False,True,yolo640_only__logistic_regression,yolo640_only,logistic_regression,False
large_face,42,0.2276422764227642,0.6666666666666666,0.3393939393939394,0.4810996563573883,False,True,yolo640_only__logistic_regression,yolo640_only,logistic_regression,False
low_light_or_dim,199,0.2168905950095969,0.5678391959798995,0.3138888888888889,0.4290053151100987,False,True,yolo640_only__logistic_regression,yolo640_only,logistic_regression,False
medium_face,223,0.4316546762589928,0.8071748878923767,0.5625,0.6875477463712758,False,True,yolo640_only__logistic_regression,yolo640_only,logistic_regression,False
mixed_scale_face,171,0.4703947368421052,0.8362573099415205,0.6021052631578947,0.7236842105263158,False,True,yolo640_only__logistic_regression,yolo640_only,logistic_regression,False
motion_blur_or_low_sharpness,194,0.2845528455284553,0.7216494845360825,0.4081632653061224,0.5520504731861199,False,True,yolo640_only__logistic_regression,yolo640_only,logistic_regression,False
multi_face,556,0.968978102189781,0.9550359712230216,0.9619565217391304,0.9577922077922078,True,True,yolo640_only__logistic_regression,yolo640_only,logistic_regression,True
no_face,283,0.8442367601246106,0.9575971731448764,0.8973509933774835,0.9325533379215416,True,True,yolo640_only__logistic_regression,yolo640_only,logistic_regression,True
outdoor_or_vehicle_scene,23,0.0487106017191977,0.7391304347826086,0.0913978494623656,0.1927437641723356,False,False,yolo640_only__logistic_regression,yolo640_only,logistic_regression,False
profile_or_occluded_face,206,0.380352644836272,0.7330097087378641,0.5008291873963516,0.6183456183456183,False,True,yolo640_only__logistic_regression,yolo640_only,logistic_regression,False
single_face,161,0.5627705627705628,0.8074534161490683,0.6632653061224489,0.7428571428571429,False,True,yolo640_only__logistic_regression,yolo640_only,logistic_regression,False
small_face,229,0.5227272727272727,0.9039301310043668,0.6624,0.7888719512195121,False,True,yolo640_only__logistic_regression,yolo640_only,logistic_regression,False
text_or_screen_risk_in_face_protocol,0,0.0,0.0,0.0,0.0,False,False,yolo640_only__logistic_regression,yolo640_only,logistic_regression,False
very_small_or_distant_face,52,0.3093525179856115,0.8269230769230769,0.450261780104712,0.6195965417867435,False,True,yolo640_only__logistic_regression,yolo640_only,logistic_regression,False
downward_egocentric_view,242,0.3319919517102616,0.6818181818181818,0.4465493910690122,0.5631399317406144,False,True,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,False
edge_or_partial_face,376,0.8305084745762712,0.7819148936170213,0.8054794520547945,0.7911733046286329,True,True,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,True
high_clutter,360,0.5861111111111111,0.5861111111111111,0.5861111111111111,0.5861111111111111,False,True,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,False
large_face,42,0.2222222222222222,0.5714285714285714,0.32,0.4347826086956521,False,True,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,False
low_light_or_dim,199,0.2273641851106639,0.5678391959798995,0.3247126436781609,0.436968290796597,False,True,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,False
medium_face,223,0.4464285714285714,0.7847533632286996,0.5691056910569106,0.6814641744548287,False,True,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,False
mixed_scale_face,171,0.5052631578947369,0.8421052631578947,0.631578947368421,0.7430340557275542,False,True,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,False
motion_blur_or_low_sharpness,194,0.2848360655737705,0.7164948453608248,0.407624633431085,0.5498417721518988,False,True,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,False
multi_face,556,0.9653284671532848,0.9514388489208632,0.9583333333333334,0.954184704184704,True,True,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,True
no_face,283,0.8503184713375797,0.9434628975265018,0.8944723618090452,0.9232365145228216,True,True,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,True
outdoor_or_vehicle_scene,23,0.0547945205479452,0.6956521739130435,0.1015873015873015,0.2083333333333333,False,False,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,False
profile_or_occluded_face,206,0.3948051948051948,0.7378640776699029,0.5143824027072758,0.6286186931348222,False,True,yolo_multiscale_only__logistic_regression,yolo_multiscale_only,logistic_regression,False
