method,relative_path,non_sensitive_ssim,full_frame_utility,SSIM,privacy_score_legacy
layered_blur_downscale_noise,day1/members/allie/09_0273.webp,0.9983119925513773,0.9002798231620688,0.987507938281516,0.9166666666666666
layered_blur_downscale_noise,day3/members/luca/13_0698.webp,0.9984118483133236,0.9063701656388312,0.9907255934033932,1.0
layered_blur_downscale_noise,day4/members/allie/09_0480.webp,0.9980991299690455,0.9719096353604524,0.9937407172007616,1.0
layered_blur_downscale_noise,day1/members/luca/18_0040.webp,0.9986964976861818,0.932235428612968,0.9911228670111112,1.0
layered_blur_downscale_noise,day2/members/luca/10_0654.webp,0.9981129823879492,0.8670974152977633,0.985347476392064,1.0
layered_blur_downscale_noise,day1/members/klaus/10_0063.webp,0.9776134284072446,0.6127422884385643,0.9757663131318208,1.0
layered_blur_downscale_noise,day3/members/tien/20_0155.webp,0.9972641003859675,0.8722966522982241,0.9890914084534886,1.0
layered_blur_downscale_noise,day1/members/onanong/08_0611.webp,0.9979735674746285,0.914452924702328,0.9889425324872368,1.0
layered_blur_downscale_noise,day4/members/stevan/13_0714.webp,0.9977929492612906,0.9062262018520048,0.9891319888330324,1.0
layered_blur_downscale_noise,day2/members/florian/12_0020.webp,0.9984540420447744,0.9865186181990986,0.995484734447784,1.0
layered_blur_downscale_noise,day1/members/cathal/09_0001.webp,0.9976786039922038,0.6939601512514222,0.9742372978255488,1.0
layered_blur_downscale_noise,day1/members/luca/08_0225.webp,0.9985764647922886,0.9653379977231472,0.9943605129639802,1.0
layered_blur_downscale_noise,day1/members/allie/14_0135.webp,0.9981084519239526,0.9102515982933213,0.9898192425265648,1.0
layered_blur_downscale_noise,day1/members/allie/10_0099.webp,0.997776633293774,0.9426923077696504,0.9908047430503254,1.0
layered_blur_downscale_noise,day4/members/bao/08_0028.webp,0.998340137395318,0.9841100700138848,0.9957676187036116,1.0
layered_blur_downscale_noise,day1/members/bjorn/18_0340.webp,0.9971252713580631,0.953475142647248,0.9935810543684588,1.0
layered_blur_downscale_noise,day1/members/luca/15_0236.webp,0.9979429642271169,0.8813366976675312,0.9884487116926752,1.0
layered_blur_downscale_noise,day2/members/florian/19_0363.webp,0.9981524506225069,0.981967479294798,0.995213795130474,1.0
layered_blur_downscale_noise,day1/members/werner/18_0484.webp,0.997921344668636,0.8619494726358252,0.9859541560408268,1.0
layered_blur_downscale_noise,day4/members/allie/08_0040.webp,0.9981476292846213,0.6270380978409149,0.978544054353972,1.0
layered_blur_downscale_noise,day2/members/klaus/12_0264.webp,0.998136182549704,0.9784480848150516,0.995213446260654,1.0
layered_blur_downscale_noise,day1/members/florian/08_0717.webp,0.9982364640861864,0.7987828497795866,0.9832562917885392,0.9
layered_blur_downscale_noise,day2/members/allie/13_0355.webp,0.9984789634453373,0.985922393294361,0.9955678892290826,1.0
layered_blur_downscale_noise,day1/members/bjorn/15_0004.webp,0.9981087699653486,0.930228672145281,0.99103317440743,1.0
layered_blur_downscale_noise,day2/members/klaus/10_0629.webp,0.9984034827952332,0.9102221496119784,0.988660900238094,1.0
layered_blur_downscale_noise,day1/members/luca/08_0069.webp,0.9981320989633158,0.9831720294811268,0.9957208181560911,1.0
layered_blur_downscale_noise,day4/members/werner/08_0337.webp,0.9983014959573996,0.9376148541811622,0.9917291938103272,1.0
layered_blur_downscale_noise,day2/members/werner/17_0115.webp,0.9987032331033281,0.9568964113750044,0.9940254802421696,1.0
layered_blur_downscale_noise,day3/members/klaus/12_0484.webp,0.999127689459676,0.9786583606100538,0.998476801802011,1.0
layered_blur_downscale_noise,day4/members/stevan/13_0149.webp,0.9978962766482251,0.9002198904645928,0.9897081278050917,1.0
layered_blur_downscale_noise,day1/members/luca/08_0716.webp,0.9981981321487675,0.9363884494817892,0.9898080299033002,1.0
layered_blur_downscale_noise,day1/members/cathal/08_0346.webp,0.9975270659912319,0.9456446648383549,0.9945877274114706,1.0
layered_blur_downscale_noise,day4/members/florian/10_0112.webp,0.9981253989005693,0.8462637933604027,0.9849704374893716,1.0
layered_blur_downscale_noise,day1/members/florian/13_0133.webp,0.997568304763519,0.943952727357656,0.9901776746712332,1.0
layered_blur_downscale_noise,day2/members/tien/19_0311.webp,0.9978736345820005,0.914066378124677,0.991494763837502,1.0
layered_blur_downscale_noise,day3/members/werner/08_0688.webp,0.9981743082415342,0.9354568746690716,0.9917566159377028,1.0
layered_blur_downscale_noise,day3/members/onanong/11_0042.webp,0.9976338217669293,0.8891085484776267,0.9873502004451292,0.75
layered_blur_downscale_noise,day3/members/luca/18_0573.webp,0.9982193446625686,0.8708134270623205,0.987446020427322,1.0
layered_blur_downscale_noise,day3/members/allie/17_0205.webp,0.9973773062019693,0.8396147451162899,0.9884258655430008,1.0
layered_blur_downscale_noise,day3/members/bjorn/18_0629.webp,0.9981171484860779,0.5990232932599122,0.9751954144302476,1.0
layered_blur_downscale_noise,day3/members/florian/19_0349.webp,0.9978014077244169,0.9797820795998032,0.9946024050414676,1.0
layered_blur_downscale_noise,day3/members/cathal/11_0509.webp,0.9983499955498547,0.9852763675934212,0.9959388260428876,1.0
layered_blur_downscale_noise,day3/members/allie/17_0399.webp,0.9984246795218154,0.8592536565931526,0.9867156418208056,1.0
layered_blur_downscale_noise,day1/members/klaus/09_0114.webp,0.998287785923525,0.7667712414125938,0.9798619138917009,1.0
layered_blur_downscale_noise,day4/members/klaus/11_0401.webp,0.9978687499380313,0.9057830761767438,0.9887702211036308,1.0
layered_blur_downscale_noise,day4/members/luca/14_0559.webp,0.9981155247475385,0.9717025408617692,0.9941946931376132,1.0
layered_blur_downscale_noise,day2/members/bjorn/19_0429.webp,0.9980167845801354,0.9753078498127544,0.9943870317553446,1.0
layered_blur_downscale_noise,day1/members/luca/12_0168.webp,0.997924059742307,0.980150942088313,0.9943469583116912,1.0
layered_blur_downscale_noise,day4/members/onanong/12_0450.webp,0.9983157066435906,0.9807597612800576,0.9955691112813608,1.0
layered_blur_downscale_noise,day2/members/cathal/12_0044.webp,0.9983799082433779,0.8252422835866322,0.9864703990895966,1.0
layered_blur_downscale_noise,day3/members/klaus/15_0375.webp,0.99821200388502,0.985060448157172,0.9948843724178884,1.0
