category,category_source,support_count,scored_frame_count,method,success_rate,SSIM_mean,LPIPS_mean,privacy_score_mean,utility_score_mean,runtime_score_mean,privacy_first_score,balanced_oapr_anonymisation_score,utility_preserving_score,runtime_practical_score,runtime_mean_for_score,privacy_first_score_rank,balanced_oapr_anonymisation_score_rank,utility_preserving_score_rank,runtime_practical_score_rank
motion_blur_or_low_sharpness,manual_condition_review,94,49,solid_mask_black,1.0,0.9737131834122071,0.02501423113352182,1.0,0.7706525217711659,0.9230147755102042,0.961748617041185,0.9234972340823703,0.8776277384366034,0.9310349370072947,0.3849261224489795,1,2,3,2
multi_face,manual_condition_review,276,276,blur,1.0,0.9899535203680445,0.0120424998842308,0.9448570853462158,0.8748221307908859,0.9012002340579711,0.9376832910638824,0.9249952053161707,0.9109882144051048,0.9232673305140549,0.49399882971014497,3,2,2,2
multi_face,manual_condition_review,276,276,diffusion_low_step,1.0,0.9817360639011834,0.014851761862055224,0.9668182863835036,0.8444124629029219,0.3485909369565217,0.920864216751717,0.8715919757582805,0.8471108110621642,0.7601870882209425,3.462909449275363,4,4,4,5
multi_face,manual_condition_review,276,276,layered_blur_downscale_noise,1.0,0.9860473620560138,0.013735311628872718,0.9818754313319532,0.8572764992162185,0.9104270355072466,0.9614256285901622,0.9391633689815667,0.9142435825584198,0.9373335830281989,0.44786482246376813,1,1,1,1
multi_face,manual_condition_review,276,276,nullface,1.0,0.9593239494510996,0.03588920534061997,0.9379462978647762,0.7379631981648087,0.0,0.8672568882300645,0.7903621083818307,0.7503654884418373,0.6227711587788722,20.167529,5,6,6,6
multi_face,manual_condition_review,276,276,pixelate,1.0,0.9942732255561115,0.00929104346837646,0.7030938918167179,0.9042261780942911,0.9027542876811595,0.7729373653699041,0.8130902281047622,0.8533166853602768,0.8329090786498932,0.4862285615942029,6,5,3,4
multi_face,manual_condition_review,276,276,reverse_personalization,0.8297101449275363,0.9888574218814824,0.00712472694263292,0.7201496721877156,0.7673288986605279,0.0,0.7021751198232337,0.6732445201847699,0.6826803654793322,0.5244966630999455,139.439574,7,7,7,7
multi_face,manual_condition_review,276,276,solid_mask_black,1.0,0.9679914418718588,0.029108168817111764,0.9993357487922705,0.7079811999400167,0.9148200782608696,0.9514732080586352,0.9035442422042272,0.8452733324337764,0.9157765629831723,0.4258996086956522,2,3,5,3
no_face,manual_condition_review,146,146,blur,1.0,0.9978719970084845,0.0005812868781902904,1.0,0.9931231297223393,0.9017862,0.9940577794583507,0.9881155589167019,0.9867401848611695,0.9691604859444678,0.491069,2,2,2,4
no_face,manual_condition_review,146,146,diffusion_low_step,1.0,0.9952450363607834,0.0020894525821435533,1.0,0.9767279923589561,0.8726888835616439,0.9901436430319256,0.9802872860638512,0.9756328845356426,0.9571522635402845,0.6365555821917809,5,5,5,5
no_face,manual_condition_review,146,146,layered_blur_downscale_noise,1.0,0.9952669010687027,0.002113281483666282,1.0,0.9765006356976885,0.9142907589041096,0.9921896332998585,0.9843792665997175,0.9796793937392551,0.9695873548107706,0.42854620547945205,3,3,3,1
no_face,manual_condition_review,146,146,nullface,1.0,0.9944998878756239,0.002988362814816455,1.0,0.9738344493567782,0.0,0.9460751674035167,0.8921503348070334,0.8869172246783888,0.6947668898713557,20.167529,7,7,7,7
no_face,manual_condition_review,146,146,pixelate,1.0,0.9978979401719532,0.00056870235000619,1.0,0.9932619465859147,0.9028520931506849,0.9941318966454213,0.988263793290843,0.9869161826080259,0.9695080172623886,0.4857395342465754,1,1,1,2
no_face,manual_condition_review,146,146,reverse_personalization,1.0,0.9953230801440038,0.0020213022047481564,1.0,0.9774485180245204,0.0,0.9466172777036782,0.893234555407356,0.88872425901226,0.6954897036049041,139.439574,6,6,6,6
no_face,manual_condition_review,146,146,solid_mask_black,1.0,0.9951566082024101,0.002186885424921519,1.0,0.9757094498519897,0.913810894520548,0.9920469622038256,0.9840939244076516,0.9792358143780497,0.9692851583265624,0.4309455273972603,4,4,4,3
profile_or_occluded_face,manual_condition_review,206,206,blur,1.0,0.9896659312473577,0.012659587556661843,0.9239848204654029,0.8688157497431304,0.9010647951456311,0.9221649765445331,0.9127436146702036,0.9017098005257491,0.9136765166784766,0.4946760242718447,4,2,2,3
profile_or_occluded_face,manual_condition_review,206,206,diffusion_low_step,1.0,0.9804877474730221,0.015850218487632215,0.9696995965199848,0.8323250793032593,0.3751731582524272,0.9223971373720996,0.872064637876213,0.844589734432868,0.766896801944374,3.33533154368932,3,4,3,5
profile_or_occluded_face,manual_condition_review,206,206,layered_blur_downscale_noise,1.0,0.9854547627350082,0.014714703289339843,0.9764678687008784,0.8468951486705866,0.9101154951456312,0.9560675551484844,0.9333140284661782,0.9073994844601199,0.9330008257581579,0.44942252427184465,1,1,1,1
profile_or_occluded_face,manual_condition_review,206,206,nullface,1.0,0.9520057845190928,0.04213466842147947,0.911127309853038,0.7235909177898765,0.0,0.846327754565608,0.7726409302634821,0.7351336518508497,0.6091691074991905,20.167528999999995,5,6,6,6
profile_or_occluded_face,manual_condition_review,206,206,pixelate,1.0,0.9941553264702055,0.009787799161166582,0.6635977493380405,0.899199671623437,0.9027524660194176,0.7445359985811149,0.7918340227579932,0.8389544072150725,0.816104773865729,0.4862376699029127,6,5,5,4
profile_or_occluded_face,manual_condition_review,206,206,reverse_personalization,0.7524271844660194,0.9887199250757189,0.007221095874368475,0.6333699337340113,0.6942668217012166,0.0,0.6227416953155925,0.6002077318239726,0.6123871094174136,0.46744405628044977,139.439574,7,7,7,7
profile_or_occluded_face,manual_condition_review,206,206,solid_mask_black,1.0,0.9660893375368005,0.03012168726678124,0.9995954692556636,0.6991418274590705,0.9149100844660195,0.9503336068211259,0.9010312913121549,0.8409405629528361,0.9141395785338853,0.425449577669903,2,3,4,2
single_face,manual_condition_review,78,77,blur,1.0,0.9938028833051928,0.007333255833500162,0.8181818181818182,0.9251169858543535,0.9016760779220775,0.8565786245015296,0.8767936126394233,0.8981806461739301,0.8827989478202215,0.49161961038961033,4,4,4,4
single_face,manual_condition_review,78,77,diffusion_low_step,1.0,0.986444138809872,0.010008385190256423,0.9805194805194806,0.8946989763500666,0.7449336181818184,0.9578151637252373,0.9331627949829419,0.9159986941490591,0.8946276729323512,1.2753319090909092,2,3,2,3
single_face,manual_condition_review,78,77,layered_blur_downscale_noise,1.0,0.9895645529257843,0.010106749503038727,0.9545454545454546,0.8972322988412725,0.9121276285714285,0.9483730444365803,0.9376551797822521,0.9261925486414153,0.934902930157865,0.4393618571428571,3,2,1,2
single_face,manual_condition_review,78,77,nullface,1.0,0.9668490873291202,0.02831840077596535,0.8571428571428571,0.8291438863711641,0.0,0.8243715829556746,0.7773145944827778,0.7717148003284392,0.6086859201313758,20.167529000000002,5,5,6,6
single_face,manual_condition_review,78,77,pixelate,1.0,0.9960493056095582,0.005897437357426887,0.4155844155844156,0.9390502792305101,0.9031181636363635,0.5769225409754856,0.6798191079249971,0.7845122806542162,0.7249792711707773,0.4844091818181818,7,7,5,5
single_face,manual_condition_review,78,77,reverse_personalization,0.8961038961038961,0.9913021345056023,0.004940500034329792,0.7272727272727273,0.8469087155790086,0.0,0.7257376060381499,0.7073193679204558,0.7312465655817121,0.5499012236352824,139.439574,6,6,7,7
single_face,manual_condition_review,78,77,solid_mask_black,1.0,0.9789808657600614,0.01729993391691332,1.0,0.8262088988526499,0.9148523896103893,0.9696739543084167,0.9393479086168337,0.9045896883873641,0.9396974966536469,0.42573805194805187,1,1,3,1
small_face,manual_condition_review,132,132,blur,1.0,0.993723824896299,0.005670570593241736,0.9607323232323233,0.9401562065157322,0.9018261212121212,0.9586273633005921,0.9525956356920933,0.9484804123487751,0.9428720069597122,0.490869393939394,3,2,2,3
small_face,manual_condition_review,132,132,diffusion_low_step,1.0,0.9891059413880235,0.008014136048697048,0.9704770923520925,0.9144116102070413,0.4767375651515152,0.9403325844350965,0.9072357857533101,0.8960226893242997,0.8140944285276998,2.659976045454546,4,4,5,5
small_face,manual_condition_review,132,132,layered_blur_downscale_noise,1.0,0.9907126556020508,0.006683935241061122,0.9892676767676766,0.9285169753904141,0.9133221454545454,0.9774310273186629,0.9645211455464171,0.9523710052709647,0.9554071094215172,0.4333892727272728,1,1,1,1
small_face,manual_condition_review,132,132,nullface,1.0,0.9863861376611188,0.009799116595373065,0.9138678451178451,0.8952019028768289,0.0,0.8739877770140159,0.8254944934219711,0.8217613049737678,0.6445875186225039,20.167529000000002,6,6,6,6
small_face,manual_condition_review,132,132,pixelate,1.0,0.9959308305404888,0.00421503751027613,0.8554503367003368,0.955815040167483,0.9028857075757576,0.8873317770941459,0.904758251157989,0.9248311918514184,0.9042088549863585,0.4855714621212121,5,5,3,4
small_face,manual_condition_review,132,132,reverse_personalization,0.946969696969697,0.9919954085226725,0.0045752337581001735,0.844188912938913,0.9001805943496508,0.0,0.8206562979066562,0.7868456044713215,0.7980439407534689,0.612408653742465,139.439574,7,7,7,7
small_face,manual_condition_review,132,132,solid_mask_black,1.0,0.9835325101218486,0.014594524737207614,0.9986111111111111,0.8458210076888482,0.9145774257575757,0.9716298002189836,0.9445096004379675,0.9139515797535149,0.9429818737094868,0.42711287121212127,2,3,4,2
very_small_or_distant_face,manual_condition_review,12,12,blur,1.0,0.9971233603282252,0.001455927314964356,0.9166666666666666,0.9840024070144691,0.8989732666666668,0.9342156910521705,0.9434313821043405,0.956898530173901,0.9331591280695605,0.5051336666666667,5,5,4,4
very_small_or_distant_face,manual_condition_review,12,12,diffusion_low_step,1.0,0.9940789958073322,0.003292183314139644,1.0,0.9641176647622697,0.6809892166666667,0.9786671105476739,0.9573342210953473,0.9501577540478015,0.897120297952454,1.5950539166666668,2,4,5,5
very_small_or_distant_face,manual_condition_review,12,12,layered_blur_downscale_noise,1.0,0.9944546644142475,0.0028622896158291646,0.9583333333333334,0.9686044360488322,0.9112108166666667,0.9616845395739914,0.960869079147983,0.9629232996910826,0.9504174655430998,0.44394591666666666,4,3,3,3
very_small_or_distant_face,manual_condition_review,12,12,nullface,1.0,0.9936812792351196,0.003228722208101923,0.9166666666666666,0.9645534175365403,0.0,0.8863496792971476,0.8476993585942956,0.8572767087682701,0.6595773501739747,20.167529,6,6,6,6
very_small_or_distant_face,manual_condition_review,12,12,pixelate,1.0,0.9974792666986185,0.0010028774377133232,0.9583333333333334,0.9887108589721761,0.8998832166666668,0.9641341230124931,0.9657682460249862,0.9718437511527546,0.9510404701277686,0.5005839166666667,3,2,1,2
very_small_or_distant_face,manual_condition_review,12,12,reverse_personalization,0.8333333333333334,0.994975229017724,0.0023525679716840386,0.7395833333333334,0.8104149896732845,0.0,0.7226039151176592,0.6962494969019853,0.7104158281699755,0.5412496646013235,139.439574,7,7,7,7
very_small_or_distant_face,manual_condition_review,12,12,solid_mask_black,1.0,0.9933298655866455,0.004240614381463577,1.0,0.954258788978687,0.9111540666666668,0.9886965216801363,0.9773930433602726,0.96824480115601,0.9641979777957373,0.4442296666666667,1,1,2,1
